second,Ampere
-5.00000E-03,+304.10157E-03
-4.99000E-03,+302.34375E-03
-4.98000E-03,+300.19532E-03
-4.97000E-03,+299.21875E-03
-4.96000E-03,+296.48438E-03
-4.95000E-03,+295.31250E-03
-4.94000E-03,+293.55469E-03
-4.93000E-03,+291.01563E-03
-4.92000E-03,+290.03907E-03
-4.91000E-03,+287.30469E-03
-4.90000E-03,+285.93750E-03
-4.89000E-03,+283.98438E-03
-4.88000E-03,+281.25000E-03
-4.87000E-03,+280.46875E-03
-4.86000E-03,+277.34375E-03
-4.85000E-03,+275.78125E-03
-4.84000E-03,+273.43750E-03
-4.83000E-03,+270.50782E-03
-4.82000E-03,+269.33594E-03
-4.81000E-03,+266.40625E-03
-4.80000E-03,+264.84375E-03
-4.79000E-03,+262.89063E-03
-4.78000E-03,+259.76563E-03
-4.77000E-03,+258.39844E-03
-4.76000E-03,+255.07813E-03
-4.75000E-03,+253.12500E-03
-4.74000E-03,+251.17188E-03
-4.73000E-03,+248.24219E-03
-4.72000E-03,+246.87500E-03
-4.71000E-03,+243.75000E-03
-4.70000E-03,+241.99219E-03
-4.69000E-03,+239.64844E-03
-4.68000E-03,+236.32813E-03
-4.67000E-03,+234.96094E-03
-4.66000E-03,+231.64063E-03
-4.65000E-03,+229.10157E-03
-4.64000E-03,+226.56250E-03
-4.63000E-03,+223.43750E-03
-4.62000E-03,+221.87500E-03
-4.61000E-03,+218.55469E-03
-4.60000E-03,+216.21094E-03
-4.59000E-03,+213.67188E-03
-4.58000E-03,+209.76563E-03
-4.57000E-03,+208.20313E-03
-4.56000E-03,+204.49219E-03
-4.55000E-03,+201.75782E-03
-4.54000E-03,+199.41407E-03
-4.53000E-03,+195.50782E-03
-4.52000E-03,+193.75000E-03
-4.51000E-03,+190.23438E-03
-4.50000E-03,+187.50000E-03
-4.49000E-03,+185.15625E-03
-4.48000E-03,+181.44532E-03
-4.47000E-03,+179.49219E-03
-4.46000E-03,+176.17188E-03
-4.45000E-03,+173.04688E-03
-4.44000E-03,+170.70313E-03
-4.43000E-03,+166.99219E-03
-4.42000E-03,+164.84375E-03
-4.41000E-03,+161.32813E-03
-4.40000E-03,+158.20313E-03
-4.39000E-03,+155.66406E-03
-4.38000E-03,+151.56250E-03
-4.37000E-03,+149.60938E-03
-4.36000E-03,+146.28906E-03
-4.35000E-03,+142.96875E-03
-4.34000E-03,+140.23438E-03
-4.33000E-03,+136.13281E-03
-4.32000E-03,+133.98438E-03
-4.31000E-03,+130.46875E-03
-4.30000E-03,+127.14844E-03
-4.29000E-03,+124.80469E-03
-4.28000E-03,+120.89844E-03
-4.27000E-03,+118.55469E-03
-4.26000E-03,+115.03906E-03
-4.25000E-03,+111.32813E-03
-4.24000E-03,+108.98438E-03
-4.23000E-03,+104.88281E-03
-4.22000E-03,+102.34375E-03
-4.21000E-03,+98.63281E-03
-4.20000E-03,+95.11719E-03
-4.19000E-03,+92.96875E-03
-4.18000E-03,+88.47656E-03
-4.17000E-03,+85.74219E-03
-4.16000E-03,+81.83594E-03
-4.15000E-03,+78.32031E-03
-4.14000E-03,+75.78125E-03
-4.13000E-03,+71.87500E-03
-4.12000E-03,+69.14063E-03
-4.11000E-03,+65.82031E-03
-4.10000E-03,+62.10938E-03
-4.09000E-03,+59.76563E-03
-4.08000E-03,+55.66406E-03
-4.07000E-03,+52.92969E-03
-4.06000E-03,+49.60938E-03
-4.05000E-03,+46.09375E-03
-4.04000E-03,+43.75000E-03
-4.03000E-03,+39.45313E-03
-4.02000E-03,+36.52344E-03
-4.01000E-03,+33.00781E-03
-4.00000E-03,+29.29688E-03
-3.99000E-03,+27.14844E-03
-3.98000E-03,+23.24219E-03
-3.97000E-03,+20.31250E-03
-3.96000E-03,+16.79688E-03
-3.95000E-03,+13.08594E-03
-3.94000E-03,+10.93750E-03
-3.93000E-03,+7.22656E-03
-3.92000E-03,+4.49219E-03
-3.91000E-03,+1.36719E-03
-3.90000E-03,-1.95313E-03
-3.89000E-03,-3.90625E-03
-3.88000E-03,-8.00781E-03
-3.87000E-03,-10.74219E-03
-3.86000E-03,-13.67188E-03
-3.85000E-03,-17.57813E-03
-3.84000E-03,-19.72656E-03
-3.83000E-03,-23.63281E-03
-3.82000E-03,-26.17188E-03
-3.81000E-03,-29.29688E-03
-3.80000E-03,-33.20313E-03
-3.79000E-03,-35.35156E-03
-3.78000E-03,-39.25781E-03
-3.77000E-03,-41.99219E-03
-3.76000E-03,-44.53125E-03
-3.75000E-03,-48.24219E-03
-3.74000E-03,-50.39063E-03
-3.73000E-03,-54.29688E-03
-3.72000E-03,-56.83594E-03
-3.71000E-03,-59.37500E-03
-3.70000E-03,-63.08594E-03
-3.69000E-03,-65.03906E-03
-3.68000E-03,-68.55469E-03
-3.67000E-03,-71.09375E-03
-3.66000E-03,-73.82813E-03
-3.65000E-03,-77.53906E-03
-3.64000E-03,-79.49219E-03
-3.63000E-03,-83.20313E-03
-3.62000E-03,-85.93750E-03
-3.61000E-03,-88.08594E-03
-3.60000E-03,-91.79688E-03
-3.59000E-03,-93.75000E-03
-3.58000E-03,-97.46094E-03
-3.57000E-03,-100.19531E-03
-3.56000E-03,-102.53906E-03
-3.55000E-03,-106.25000E-03
-3.54000E-03,-108.00781E-03
-3.53000E-03,-111.52344E-03
-3.52000E-03,-114.06250E-03
-3.51000E-03,-116.40625E-03
-3.50000E-03,-119.92188E-03
-3.49000E-03,-121.48438E-03
-3.48000E-03,-124.60938E-03
-3.47000E-03,-127.34375E-03
-3.46000E-03,-129.29688E-03
-3.45000E-03,-133.00781E-03
-3.44000E-03,-134.57031E-03
-3.43000E-03,-137.89063E-03
-3.42000E-03,-140.62500E-03
-3.41000E-03,-142.77344E-03
-3.40000E-03,-146.28906E-03
-3.39000E-03,-147.85156E-03
-3.38000E-03,-150.78125E-03
-3.37000E-03,-153.51563E-03
-3.36000E-03,-155.46875E-03
-3.35000E-03,-159.17969E-03
-3.34000E-03,-160.93750E-03
-3.33000E-03,-163.67188E-03
-3.32000E-03,-166.21094E-03
-3.31000E-03,-167.96875E-03
-3.30000E-03,-171.67969E-03
-3.29000E-03,-173.24219E-03
-3.28000E-03,-175.97657E-03
-3.27000E-03,-178.90625E-03
-3.26000E-03,-180.66407E-03
-3.25000E-03,-183.98438E-03
-3.24000E-03,-185.74219E-03
-3.23000E-03,-188.67188E-03
-3.22000E-03,-191.21094E-03
-3.21000E-03,-193.16407E-03
-3.20000E-03,-196.67969E-03
-3.19000E-03,-198.24219E-03
-3.18000E-03,-200.78125E-03
-3.17000E-03,-203.71094E-03
-3.16000E-03,-205.27344E-03
-3.15000E-03,-208.59375E-03
-3.14000E-03,-210.54688E-03
-3.13000E-03,-213.28125E-03
-3.12000E-03,-216.01563E-03
-3.11000E-03,-217.38282E-03
-3.10000E-03,-220.70313E-03
-3.09000E-03,-222.65625E-03
-3.08000E-03,-225.19532E-03
-3.07000E-03,-228.32032E-03
-3.06000E-03,-229.88282E-03
-3.05000E-03,-233.20313E-03
-3.04000E-03,-234.76563E-03
-3.03000E-03,-237.30469E-03
-3.02000E-03,-240.23438E-03
-3.01000E-03,-241.60157E-03
-3.00000E-03,-244.92188E-03
-2.99000E-03,-246.48438E-03
-2.98000E-03,-249.02344E-03
-2.97000E-03,-251.56250E-03
-2.96000E-03,-252.73438E-03
-2.95000E-03,-255.85938E-03
-2.94000E-03,-257.61719E-03
-2.93000E-03,-259.57032E-03
-2.92000E-03,-262.30469E-03
-2.91000E-03,-263.67188E-03
-2.90000E-03,-266.79688E-03
-2.89000E-03,-268.55469E-03
-2.88000E-03,-270.70313E-03
-2.87000E-03,-273.63282E-03
-2.86000E-03,-274.41407E-03
-2.85000E-03,-277.53907E-03
-2.84000E-03,-279.29688E-03
-2.83000E-03,-281.25000E-03
-2.82000E-03,-283.98438E-03
-2.81000E-03,-284.96094E-03
-2.80000E-03,-287.89063E-03
-2.79000E-03,-289.84375E-03
-2.78000E-03,-291.60157E-03
-2.77000E-03,-294.33594E-03
-2.76000E-03,-295.31250E-03
-2.75000E-03,-298.24219E-03
-2.74000E-03,-300.00000E-03
-2.73000E-03,-301.56250E-03
-2.72000E-03,-304.29688E-03
-2.71000E-03,-305.46875E-03
-2.70000E-03,-308.20313E-03
-2.69000E-03,-309.76563E-03
-2.68000E-03,-311.13282E-03
-2.67000E-03,-313.67188E-03
-2.66000E-03,-314.45313E-03
-2.65000E-03,-316.99219E-03
-2.64000E-03,-318.55469E-03
-2.63000E-03,-319.92188E-03
-2.62000E-03,-322.46094E-03
-2.61000E-03,-323.04688E-03
-2.60000E-03,-325.19532E-03
-2.59000E-03,-326.75782E-03
-2.58000E-03,-327.92969E-03
-2.57000E-03,-330.66407E-03
-2.56000E-03,-331.05469E-03
-2.55000E-03,-333.20313E-03
-2.54000E-03,-334.76563E-03
-2.53000E-03,-335.74219E-03
-2.52000E-03,-338.28126E-03
-2.51000E-03,-338.86719E-03
-2.50000E-03,-341.01563E-03
-2.49000E-03,-342.38282E-03
-2.48000E-03,-343.16407E-03
-2.47000E-03,-345.50782E-03
-2.46000E-03,-346.28907E-03
-2.45000E-03,-348.43751E-03
-2.44000E-03,-349.41407E-03
-2.43000E-03,-350.00001E-03
-2.42000E-03,-352.34376E-03
-2.41000E-03,-352.73438E-03
-2.40000E-03,-354.29688E-03
-2.39000E-03,-355.46876E-03
-2.38000E-03,-356.05469E-03
-2.37000E-03,-358.00782E-03
-2.36000E-03,-358.20313E-03
-2.35000E-03,-359.76563E-03
-2.34000E-03,-360.74219E-03
-2.33000E-03,-361.13282E-03
-2.32000E-03,-363.08594E-03
-2.31000E-03,-363.28126E-03
-2.30000E-03,-364.45313E-03
-2.29000E-03,-365.42969E-03
-2.28000E-03,-365.42969E-03
-2.27000E-03,-367.38282E-03
-2.26000E-03,-367.38282E-03
-2.25000E-03,-368.35938E-03
-2.24000E-03,-369.53126E-03
-2.23000E-03,-369.33594E-03
-2.22000E-03,-371.09376E-03
-2.21000E-03,-371.09376E-03
-2.20000E-03,-371.87501E-03
-2.19000E-03,-373.04688E-03
-2.18000E-03,-372.85157E-03
-2.17000E-03,-374.41407E-03
-2.16000E-03,-374.21876E-03
-2.15000E-03,-375.00001E-03
-2.14000E-03,-375.97657E-03
-2.13000E-03,-375.39063E-03
-2.12000E-03,-376.95313E-03
-2.11000E-03,-376.56251E-03
-2.10000E-03,-376.95313E-03
-2.09000E-03,-377.92969E-03
-2.08000E-03,-377.73438E-03
-2.07000E-03,-378.90626E-03
-2.06000E-03,-378.51563E-03
-2.05000E-03,-378.71094E-03
-2.04000E-03,-379.68751E-03
-2.03000E-03,-379.10157E-03
-2.02000E-03,-380.27344E-03
-2.01000E-03,-379.88282E-03
-2.00000E-03,-379.88282E-03
-1.99000E-03,-380.46876E-03
-1.98000E-03,-379.49219E-03
-1.97000E-03,-380.46876E-03
-1.96000E-03,-380.46876E-03
-1.95000E-03,-380.07813E-03
-1.94000E-03,-380.85938E-03
-1.93000E-03,-380.07813E-03
-1.92000E-03,-380.85938E-03
-1.91000E-03,-380.07813E-03
-1.90000E-03,-379.88282E-03
-1.89000E-03,-380.46876E-03
-1.88000E-03,-379.68751E-03
-1.87000E-03,-380.27344E-03
-1.86000E-03,-379.68751E-03
-1.85000E-03,-379.29688E-03
-1.84000E-03,-379.88282E-03
-1.83000E-03,-378.71094E-03
-1.82000E-03,-379.29688E-03
-1.81000E-03,-378.71094E-03
-1.80000E-03,-378.12501E-03
-1.79000E-03,-378.32032E-03
-1.78000E-03,-376.95313E-03
-1.77000E-03,-377.34376E-03
-1.76000E-03,-376.75782E-03
-1.75000E-03,-375.97657E-03
-1.74000E-03,-376.56251E-03
-1.73000E-03,-375.39063E-03
-1.72000E-03,-375.58594E-03
-1.71000E-03,-374.80469E-03
-1.70000E-03,-373.82813E-03
-1.69000E-03,-374.02344E-03
-1.68000E-03,-372.65626E-03
-1.67000E-03,-372.85157E-03
-1.66000E-03,-372.26563E-03
-1.65000E-03,-371.28907E-03
-1.64000E-03,-371.67969E-03
-1.63000E-03,-369.92188E-03
-1.62000E-03,-369.92188E-03
-1.61000E-03,-369.33594E-03
-1.60000E-03,-368.16407E-03
-1.59000E-03,-368.16407E-03
-1.58000E-03,-366.40626E-03
-1.57000E-03,-366.40626E-03
-1.56000E-03,-365.82032E-03
-1.55000E-03,-364.45313E-03
-1.54000E-03,-364.64844E-03
-1.53000E-03,-362.89063E-03
-1.52000E-03,-362.89063E-03
-1.51000E-03,-362.10938E-03
-1.50000E-03,-360.54688E-03
-1.49000E-03,-360.54688E-03
-1.48000E-03,-358.78907E-03
-1.47000E-03,-358.59376E-03
-1.46000E-03,-357.61719E-03
-1.45000E-03,-356.05469E-03
-1.44000E-03,-356.25001E-03
-1.43000E-03,-354.29688E-03
-1.42000E-03,-353.71094E-03
-1.41000E-03,-352.92969E-03
-1.40000E-03,-351.17188E-03
-1.39000E-03,-350.97657E-03
-1.38000E-03,-349.21876E-03
-1.37000E-03,-348.43751E-03
-1.36000E-03,-347.85157E-03
-1.35000E-03,-345.89844E-03
-1.34000E-03,-345.89844E-03
-1.33000E-03,-343.94532E-03
-1.32000E-03,-342.96876E-03
-1.31000E-03,-342.18751E-03
-1.30000E-03,-340.23438E-03
-1.29000E-03,-340.23438E-03
-1.28000E-03,-337.89063E-03
-1.27000E-03,-336.91407E-03
-1.26000E-03,-336.13282E-03
-1.25000E-03,-334.17969E-03
-1.24000E-03,-333.78907E-03
-1.23000E-03,-331.64063E-03
-1.22000E-03,-330.46875E-03
-1.21000E-03,-329.49219E-03
-1.20000E-03,-327.34375E-03
-1.19000E-03,-326.95313E-03
-1.18000E-03,-324.80469E-03
-1.17000E-03,-323.63282E-03
-1.16000E-03,-322.65625E-03
-1.15000E-03,-320.70313E-03
-1.14000E-03,-320.31250E-03
-1.13000E-03,-318.35938E-03
-1.12000E-03,-316.79688E-03
-1.11000E-03,-315.82032E-03
-1.10000E-03,-313.47657E-03
-1.09000E-03,-312.89063E-03
-1.08000E-03,-310.93750E-03
-1.07000E-03,-309.17969E-03
-1.06000E-03,-308.20313E-03
-1.05000E-03,-305.66407E-03
-1.04000E-03,-305.07813E-03
-1.03000E-03,-302.73438E-03
-1.02000E-03,-301.17188E-03
-1.01000E-03,-300.19532E-03
-1.00000E-03,-297.46094E-03
-990.00E-06,-296.67969E-03
-980.00E-06,-294.33594E-03
-970.00E-06,-292.18750E-03
-960.00E-06,-290.82032E-03
-950.00E-06,-288.08594E-03
-940.00E-06,-287.10938E-03
-930.00E-06,-284.76563E-03
-920.00E-06,-282.81250E-03
-910.00E-06,-281.64063E-03
-900.00E-06,-278.71094E-03
-890.00E-06,-277.53907E-03
-880.00E-06,-275.19532E-03
-870.00E-06,-272.85157E-03
-860.00E-06,-271.48438E-03
-850.00E-06,-268.35938E-03
-840.00E-06,-266.99219E-03
-830.00E-06,-264.84375E-03
-820.00E-06,-262.30469E-03
-810.00E-06,-260.93750E-03
-800.00E-06,-257.81250E-03
-790.00E-06,-256.64063E-03
-780.00E-06,-254.49219E-03
-770.00E-06,-251.95313E-03
-760.00E-06,-250.58594E-03
-750.00E-06,-247.07032E-03
-740.00E-06,-245.50782E-03
-730.00E-06,-242.96875E-03
-720.00E-06,-240.03907E-03
-710.00E-06,-238.47657E-03
-700.00E-06,-235.15625E-03
-690.00E-06,-233.39844E-03
-680.00E-06,-231.05469E-03
-670.00E-06,-227.92969E-03
-660.00E-06,-225.97657E-03
-650.00E-06,-222.26563E-03
-640.00E-06,-220.50782E-03
-630.00E-06,-217.77344E-03
-620.00E-06,-214.64844E-03
-610.00E-06,-212.89063E-03
-600.00E-06,-209.17969E-03
-590.00E-06,-207.22657E-03
-580.00E-06,-204.68750E-03
-570.00E-06,-201.17188E-03
-560.00E-06,-199.60938E-03
-550.00E-06,-196.09375E-03
-540.00E-06,-193.75000E-03
-530.00E-06,-191.01563E-03
-520.00E-06,-187.50000E-03
-510.00E-06,-185.74219E-03
-500.00E-06,-182.03125E-03
-490.00E-06,-179.49219E-03
-480.00E-06,-176.95313E-03
-470.00E-06,-173.43750E-03
-460.00E-06,-171.28907E-03
-450.00E-06,-167.18750E-03
-440.00E-06,-165.03906E-03
-430.00E-06,-162.30469E-03
-420.00E-06,-158.59375E-03
-410.00E-06,-156.83594E-03
-400.00E-06,-152.73438E-03
-390.00E-06,-150.00000E-03
-380.00E-06,-147.07031E-03
-370.00E-06,-143.35938E-03
-360.00E-06,-141.21094E-03
-350.00E-06,-137.50000E-03
-340.00E-06,-134.57031E-03
-330.00E-06,-131.64063E-03
-320.00E-06,-127.53906E-03
-310.00E-06,-125.39063E-03
-300.00E-06,-121.48438E-03
-290.00E-06,-118.55469E-03
-280.00E-06,-116.01563E-03
-270.00E-06,-112.10938E-03
-260.00E-06,-109.76563E-03
-250.00E-06,-105.66406E-03
-240.00E-06,-102.53906E-03
-230.00E-06,-100.00000E-03
-220.00E-06,-95.31250E-03
-210.00E-06,-92.96875E-03
-200.00E-06,-89.06250E-03
-190.00E-06,-85.74219E-03
-180.00E-06,-83.39844E-03
-170.00E-06,-78.90625E-03
-160.00E-06,-76.56250E-03
-150.00E-06,-72.65625E-03
-140.00E-06,-69.33594E-03
-130.00E-06,-66.79688E-03
-120.00E-06,-62.89063E-03
-110.00E-06,-60.35156E-03
-100.00E-06,-56.64063E-03
-90.00E-06,-52.92969E-03
-80.00E-06,-50.19531E-03
-70.00E-06,-45.89844E-03
-60.00E-06,-43.75000E-03
-50.00E-06,-39.84375E-03
-40.00E-06,-36.32813E-03
-30.00E-06,-33.59375E-03
-20.00E-06,-29.29688E-03
